place_id,name,address,cuisine,parent_friendly_level,google_maps_url,phone,website_url,reservation_url
ChIJ6Y9IWGCpQjQR_ca8Bpep1Ps,麋鹿祕密,104台灣臺北市中山區中央里伊通街66巷3-2號,義大利料理,高,https://www.google.com/maps/search/?api=1&query=%E9%BA%8B%E9%B9%BF%E7%A5%95%E5%AF%86&query_place_id=ChIJ6Y9IWGCpQjQR_ca8Bpep1Ps,,,
ChIJZ-xSZQ-rQjQRSYbXgt0Ka9A,擺渡冰室,116台灣臺北市文山區景華里景興路174號,中式料理,高,https://www.google.com/maps/search/?api=1&query=%E6%93%BA%E6%B8%A1%E5%86%B0%E5%AE%A4&query_place_id=ChIJZ-xSZQ-rQjQRSYbXgt0Ka9A,,,
ChIJfUVrPMarQjQRmQ87n-OVulo,薩朵披薩餐酒館,110台灣臺北市信義區松光里忠孝東路五段524巷26號,披薩,高,https://www.google.com/maps/search/?api=1&query=%E8%96%A9%E6%9C%B5%E6%8A%AB%E8%96%A9%E9%A4%90%E9%85%92%E9%A4%A8&query_place_id=ChIJfUVrPMarQjQRmQ87n-OVulo,,,
ChIJwx7gHg6pQjQRFOgurpQo4ew,薩莉亞 中山南京店,10444台灣臺北市中山區民安里中山北路一段152號地下1樓,義大利料理,高,https://www.google.com/maps/search/?api=1&query=%E8%96%A9%E8%8E%89%E4%BA%9E%20%E4%B8%AD%E5%B1%B1%E5%8D%97%E4%BA%AC%E5%BA%97&query_place_id=ChIJwx7gHg6pQjQRFOgurpQo4ew,,,
ChIJ5bobdoeuQjQRgaQTKLQaAkQ,薩莉亞 天母西路店,111台灣臺北市士林區天玉里天母西路13巷6號,義大利料理,高,https://www.google.com/maps/search/?api=1&query=%E8%96%A9%E8%8E%89%E4%BA%9E%20%E5%A4%A9%E6%AF%8D%E8%A5%BF%E8%B7%AF%E5%BA%97&query_place_id=ChIJ5bobdoeuQjQRgaQTKLQaAkQ,,,
ChIJqdsDgUmpQjQR2C7KTyATAqw,薩莉亞 台北館前店,100台灣臺北市中正區館前路6號3樓,義大利料理,高,https://www.google.com/maps/search/?api=1&query=%E8%96%A9%E8%8E%89%E4%BA%9E%20%E5%8F%B0%E5%8C%97%E9%A4%A8%E5%89%8D%E5%BA%97&query_place_id=ChIJqdsDgUmpQjQR2C7KTyATAqw,,,
ChIJC9sUawmpQjQRgZ9zXjfIOGs,薩莉亞 西門店,108台灣臺北市萬華區萬壽里峨眉街37號2樓,義大利料理,高,https://www.google.com/maps/search/?api=1&query=%E8%96%A9%E8%8E%89%E4%BA%9E%20%E8%A5%BF%E9%96%80%E5%BA%97&query_place_id=ChIJC9sUawmpQjQRgZ9zXjfIOGs,,,
ChIJY3elPuirQjQREatp4yzQoHY,薺元小館,105台灣臺北市松山區中華里南京東路四段19號,中式料理,高,https://www.google.com/maps/search/?api=1&query=%E8%96%BA%E5%85%83%E5%B0%8F%E9%A4%A8&query_place_id=ChIJY3elPuirQjQREatp4yzQoHY,,,
ChIJ9fOjOhKsQjQRL6BiIDTYm2M,豐 FOOD 海陸百匯,10491台灣臺北市中山區成功里植福路8號1樓,自助餐,高,https://www.google.com/maps/search/?api=1&query=%E8%B1%90%20FOOD%20%E6%B5%B7%E9%99%B8%E7%99%BE%E5%8C%AF&query_place_id=ChIJ9fOjOhKsQjQRL6BiIDTYm2M,,,
ChIJJwtHk5-pQjQR7H93GQhLUAk,豐田早餐店,100台灣臺北市中正區文盛里汀州路三段165號,早午餐,高,https://www.google.com/maps/search/?api=1&query=%E8%B1%90%E7%94%B0%E6%97%A9%E9%A4%90%E5%BA%97&query_place_id=ChIJJwtHk5-pQjQR7H93GQhLUAk,,,
